ID_in_22Region,area_name
1,V1
2,V2
2,V3
2,V4
3,V6
3,V3A
3,V7
3,IPS1
3,V3B
3,V6A
4,V8
4,FFC
4,PIT
4,VMV1
4,VMV3
4,VMV2
4,VVC
5,MST
5,LO1
5,LO2
5,MT
5,PH
5,V4t
5,FST
5,V3CD
5,LO3
13,EC
13,PreS
13,PeEc
13,PHA1
13,PHA3
13,PHA2
14,TE1p
14,TE2a
14,TF
14,TE2p
14,PHT
14,TE1m
15,STV
15,TPOJ1
15,TPOJ2
15,TPOJ3
16,7Pm
16,7Am
16,7PL
16,LIPv
16,VIP
16,MIP
16,LIPd
17,PGp
17,IP1
17,IP0
17,PGi
17,PGs
18,POS2
18,PCV
18,7m
18,POS1
18,31pv
18,ProS
18,DVT
18,31pd
18,31a
,4
,3b
,FEF
,PEF
,55b
,RSC
,A1
,PSL
,SFL
,23d
,v23ab
,d23ab
,5m
,5mv
,23c
,5L
,24dd
,24dv
,7AL
,SCEF
,6ma
,7PC
,1
,2
,3a
,6d
,6mp
,6v
,p24pr
,33pr
,a24pr
,p32pr
,a24
,d32
,8BM
,p32
,10r
,47m
,8Av
,8Ad
,9m
,8BL
,9p
,10d
,8C
,44
,45
,47l
,a47r
,6r
,IFJa
,IFJp
,IFSp
,IFSa
,p9-46v
,46
,a9-46v
,9-46d
,9a
,10v
,a10p
,10pp
,11l
,13l
,OFC
,47s
,6a
,i6-8
,s6-8
,43
,OP4
,OP1
,OP2-3
,52
,RI
,PFcm
,PoI2
,TA2
,FOP4
,MI
,Pir
,AVI
,AAIC
,FOP1
,FOP3
,FOP2
,PFt
,AIP
,H
,STGa
,PBelt
,A5
,STSda
,STSdp
,STSvp
,TGd
,TE1a
,IP2
,PFop
,PF
,PFm
,25
,s32
,pOFC
,PoI1
,Ig
,FOP5
,p10p
,p47r
,TGv
,MBelt
,LBelt
,A4
,STSva
,PI
,a32pr
,p24
